assignment_cost,assignment_cycles,assignment_gap,assignment_single_cycle,entropy,experiment,h_norm,n,opt_cost,relaxed_cost,rho,seed,sharpness,tau
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.844007197935121,phase_diagram,5.932470052051034,8,12.585024739540128,3.369691483223341,0.5,0,0.7516195189199983,0.35
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.814326064073543,phase_diagram,5.928111995938353,8,12.585024739540128,3.3685313831289116,1.0,0,0.7520873451444465,0.35
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.8061113258817505,phase_diagram,5.926600114109259,8,12.585024739540128,3.3691268455032666,2.0,0,0.7522711694890125,0.35
12.700914392875692,[8],0.00920853599687077,True,0.06111065509177241,phase_diagram,0.053062572115430834,8,12.585024739540128,12.703406743152478,5.0,0,0.9991974274792357,0.35
13.473387896535616,[8],0.07058890827638933,True,0.059178578964508705,phase_diagram,0.059307086922024105,8,12.585024739540128,13.46054367037267,10.0,0,0.9991255835078912,0.35
13.473387896535616,[8],0.07058890827638933,True,0.07858071062888218,phase_diagram,0.07496991980565042,8,12.585024739540128,13.482282176664686,20.0,0,0.9988836694783769,0.35
13.473387896535616,[8],0.07058890827638933,True,0.08512210026463408,phase_diagram,0.08091039443266966,8,12.585024739540128,13.482566925335874,50.0,0,0.9987912890250865,0.35
13.907985643510367,[8],0.10512183578103812,True,0.07253084935910617,phase_diagram,0.07307989916240142,8,12.585024739540128,13.923717488337935,100.0,0,0.9989066811862317,0.35
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.9319217847354193,phase_diagram,5.945789078743937,8,12.585024739540128,3.3799109789910955,0.5,0,0.7510351026762498,0.5
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.8536576620883207,phase_diagram,5.933155051920494,8,12.585024739540128,3.376526094828051,1.0,0,0.7517847595188399,0.5
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.83378462329871,phase_diagram,5.929522786428519,8,12.585024739540128,3.3769747185154673,2.0,0,0.7520217664448943,0.5
12.594424468445055,[8],0.0007468979282492186,True,0.09183545799280113,phase_diagram,0.0857955924639904,8,12.585024739540128,12.60468367350709,5.0,0,0.9987092205308266,0.5
13.473387896535616,[8],0.07058890827638933,True,0.10571364791616147,phase_diagram,0.11531913726542556,8,12.585024739540128,13.445291931236916,10.0,0,0.9982959684414346,0.5
13.473387896535616,[8],0.07058890827638933,True,0.13287013387481533,phase_diagram,0.13455882413859235,8,12.585024739540128,13.484290208021077,20.0,0,0.9979831399938546,0.5
13.473387896535616,[8],0.07058890827638933,True,0.1436556375791141,phase_diagram,0.14368879511822683,8,12.585024739540128,13.48826715405577,50.0,0,0.9978417371430324,0.5
13.907985643510367,[8],0.10512183578103812,True,0.12039624028201468,phase_diagram,0.12687888988976134,8,12.585024739540128,13.954009565319767,100.0,0,0.9980588780392438,0.5
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,3.8600533938318096,phase_diagram,6.191921291516474,8,12.585024739540128,3.4495190476223354,0.5,0,0.7663854908126982,0.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,3.0653483999538635,phase_diagram,5.965503331352237,8,12.585024739540128,3.4088205995907197,1.0,0,0.7510186508502001,0.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.9130353557241397,phase_diagram,5.939458107854218,8,12.585024739540128,3.3992764997707234,2.0,0,0.7513127365036929,0.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,3.085022493791058,phase_diagram,5.950690288905871,8,12.585024739540128,3.488231678506555,5.0,0,0.7505950774877767,0.8
13.473387896535616,[8],0.07058890827638933,True,0.19611058554382282,phase_diagram,0.2167832114797459,8,12.585024739540128,13.452001165522683,10.0,0,0.9967395723168907,0.8
13.473387896535616,[8],0.07058890827638933,True,0.22209693598332836,phase_diagram,0.2413528792074941,8,12.585024739540128,13.481734031995668,20.0,0,0.9963521673058304,0.8
13.473387896535616,[8],0.07058890827638933,True,0.23257213454315873,phase_diagram,0.24771199314992853,8,12.585024739540128,13.485466177259141,50.0,0,0.9962453669284761,0.8
24.355707473426104,[8],0.9352927767320457,True,0.18556034242066066,phase_diagram,0.22377722438804665,8,12.585024739540128,24.356940789942804,100.0,0,0.9966687682931494,0.8
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,7.158667962408475,phase_diagram,7.744426921558378,8,12.585024739540128,3.6794922474499243,0.5,0,0.6690602159154285,1.2
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,4.026035528178405,phase_diagram,6.225122276600338,8,12.585024739540128,3.519843956428832,1.0,0,0.7649084225680807,1.2
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,3.656069083641256,phase_diagram,6.098339568443783,8,12.585024739540128,3.500998877656138,2.0,0,0.7568502318343177,1.2
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,3.5121094540980193,phase_diagram,6.019136355115652,8,12.585024739540128,3.5986526875377147,5.0,0,0.7450362012632606,1.2
12.700914392875692,[8],0.00920853599687077,True,0.29814136210949616,phase_diagram,0.3571676392942197,8,12.585024739540128,12.727025657842063,10.0,0,0.9946399751309171,1.2
13.473387896535616,[8],0.07058890827638933,True,0.3240306184656196,phase_diagram,0.3703818842108065,8,12.585024739540128,13.478200955000627,20.0,0,0.9943535384112068,1.2
13.907985643510367,[8],0.10512183578103812,True,0.33023667189002587,phase_diagram,0.3676394249364195,8,12.585024739540128,13.932695106798322,50.0,0,0.9943713769987556,1.2
24.118131846521802,[8],0.9164151319263206,True,0.28393703924166225,phase_diagram,0.34500097216124426,8,12.585024739540128,24.12038804996094,100.0,0,0.9948685985396784,1.2
3.0734456825974505,"[2, 2, 4]",-0.7557854874181393,False,9.446981520490944,phase_diagram,7.878924335592424,8,12.585024739540128,4.153517857843967,0.5,0,0.380447557892474,1.8
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,8.81448274597663,phase_diagram,7.80065709474875,8,12.585024739540128,4.18398081663778,1.0,0,0.5091949070778303,1.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,4.883376919537369,phase_diagram,6.469950142354932,8,12.585024739540128,3.85056464607284,2.0,0,0.7430473944644607,1.8
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,4.6957341950914815,phase_diagram,6.364274763679708,8,12.585024739540128,4.106363055397883,5.0,0,0.7480220110187328,1.8
12.700914392875692,[8],0.00920853599687077,True,3.0917364313370275,phase_diagram,4.629723587475848,8,12.585024739540128,13.132343351745712,10.0,0,0.8837929162243703,1.8
13.473387896535616,[8],0.07058890827638933,True,0.4832119679031793,phase_diagram,0.5791993329212348,8,12.585024739540128,13.474046684656381,20.0,0,0.9910492012567551,1.8
13.907985643510367,[8],0.10512183578103812,True,0.4878656460634976,phase_diagram,0.5684629192319669,8,12.585024739540128,13.976801679613454,50.0,0,0.9911808396605366,1.8
24.26745926948818,[8],0.9282806169815241,True,0.4412302775260191,phase_diagram,0.5485864686626196,8,12.585024739540128,24.26503704379983,100.0,0,0.9916411230319577,1.8
3.0734456825974505,"[2, 2, 4]",-0.7557854874181393,False,10.178722462744762,phase_diagram,7.84609515268904,8,12.585024739540128,5.0863430882365535,0.5,0,0.3476968997595483,3.0
3.0734456825974505,"[2, 2, 4]",-0.7557854874181393,False,10.329767545340033,phase_diagram,7.837738374816336,8,12.585024739540128,5.300697986691416,1.0,0,0.34003267916312385,3.0
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,10.825747289288556,phase_diagram,7.804538341867434,8,12.585024739540128,6.13769172162128,2.0,0,0.34840964741367897,3.0
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,12.054492030457807,phase_diagram,7.539862134831757,8,12.585024739540128,11.64127090343306,5.0,0,0.4788630107114809,3.0
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,6.318535560899834,phase_diagram,7.118497201548714,8,12.585024739540128,8.297728054465358,10.0,0,0.8168545809905452,3.0
13.473387896535616,[8],0.07058890827638933,True,1.2268163351632453,phase_diagram,1.6324273297216885,8,12.585024739540128,13.450995514410648,20.0,0,0.9729483944513811,3.0
24.128675423864017,[8],0.9172529195000779,True,1.7711385247571587,phase_diagram,2.5930378752775054,8,12.585024739540128,23.992657770319926,50.0,0,0.9520715752448363,3.0
24.26745926948818,[8],0.9282806169815241,True,0.9001701917572584,phase_diagram,1.165478834666391,8,12.585024739540128,24.255707053543382,100.0,0,0.9811732813274572,3.0
3.034958866473906,"[4, 4]",-0.7697548982499292,False,2.845043683728873,phase_diagram,5.932639696169626,8,13.181426416481719,3.0860523920246177,0.5,1,0.7526724045884743,0.35
3.2035725600500444,"[4, 4]",-0.7569631344264548,False,2.8147851818102936,phase_diagram,5.928260779940803,8,13.181426416481719,3.0027768069958185,1.0,1,0.7514305086997408,0.35
3.2035725600500444,"[4, 4]",-0.7569631344264548,False,2.8051611752698404,phase_diagram,5.926684490848235,8,13.181426416481719,3.0032352051301294,2.0,1,0.7519512972062344,0.35
2.9516941860373,"[4, 4]",-0.7760717169162682,False,2.871405013785327,phase_diagram,5.926241482737632,8,13.181426416481719,3.1647711193091954,5.0,1,0.7520915770055767,0.35
13.974310191589455,[8],0.06015159134191535,True,0.06898976481200267,phase_diagram,0.06498813188736888,8,13.181426416481719,13.975392458986656,10.0,1,0.999007801842883,0.35
13.826826675860465,[8],0.048962854169693995,True,0.07208754451672024,phase_diagram,0.06841764283575143,8,13.181426416481719,13.829474163852023,20.0,1,0.9989730122388887,0.35
13.826826675860465,[8],0.048962854169693995,True,0.08100443372914792,phase_diagram,0.080922560797131,8,13.181426416481719,13.831252830609941,50.0,1,0.9988084502938506,0.35
24.402833370845194,[8],0.8513044491400805,True,0.06510601319651874,phase_diagram,0.0686821542755935,8,13.181426416481719,24.40747677020299,100.0,1,0.9990050022060468,0.35
3.034958866473906,"[4, 4]",-0.7697548982499292,False,2.918692501939101,phase_diagram,5.943966052354446,8,13.181426416481719,3.095568674577949,0.5,1,0.7522750982723903,0.5
3.2035725600500444,"[4, 4]",-0.7569631344264548,False,2.8558504033064884,phase_diagram,5.9336554864181155,8,13.181426416481719,3.0114973370867286,1.0,1,0.7511180490232614,0.5
3.2035725600500444,"[4, 4]",-0.7569631344264548,False,2.8324152084831136,phase_diagram,5.9297326431399275,8,13.181426416481719,3.011347794880421,2.0,1,0.7517027114755063,0.5
3.323770902119336,"[4, 4]",-0.7478443684999541,False,2.915047820432537,phase_diagram,5.932617662219418,8,13.181426416481719,3.2439338232368033,5.0,1,0.7514452202833939,0.5
13.640671355502715,[8],0.034840306694483986,True,0.1175772769784083,phase_diagram,0.1189884257023941,8,13.181426416481719,13.633505754040318,10.0,1,0.9981877274731147,0.5
13.826826675860465,[8],0.048962854169693995,True,0.12546183313779882,phase_diagram,0.12615040590486679,8,13.181426416481719,13.83139434711601,20.0,1,0.998097774414844,0.5
13.826826675860465,[8],0.048962854169693995,True,0.13449641594379352,phase_diagram,0.1386515032924618,8,13.181426416481719,13.834242327986164,50.0,1,0.9979386478273643,0.5
24.402833370845194,[8],0.8513044491400805,True,0.11858358601023923,phase_diagram,0.13024459772209387,8,13.181426416481719,24.412522779744762,100.0,1,0.9980843142231769,0.5
3.034958866473906,"[4, 4]",-0.7697548982499292,False,3.4325077450134565,phase_diagram,6.047039058746854,8,13.181426416481719,3.130647754186996,0.5,1,0.7514150483515086,0.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,3.092893217990887,phase_diagram,5.971184383908394,8,13.181426416481719,3.1250139437532543,1.0,1,0.7515276081875729,0.8
3.2035725600500444,"[4, 4]",-0.7569631344264548,False,2.9131803362358983,phase_diagram,5.940224612036866,8,13.181426416481719,3.035544065804659,2.0,1,0.7509620684803029,0.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,3.1642723281465917,phase_diagram,5.962200280043107,8,13.181426416481719,3.237958973122521,5.0,1,0.7478643735396453,0.8
13.640671355502715,[8],0.034840306694483986,True,0.21509408113898898,phase_diagram,0.2284200502973926,8,13.181426416481719,13.632202832888767,10.0,1,0.9965055415274984,0.8
13.826826675860465,[8],0.048962854169693995,True,0.21728621139566273,phase_diagram,0.23234613546515093,8,13.181426416481719,13.834902643804822,20.0,1,0.9964753744223539,0.8
13.826826675860465,[8],0.048962854169693995,True,0.22559808565298678,phase_diagram,0.24207778302295005,8,13.181426416481719,13.83968048103635,50.0,1,0.9963588151418421,0.8
24.402833370845194,[8],0.8513044491400805,True,0.20043072125141104,phase_diagram,0.2296827359262064,8,13.181426416481719,24.414725411806465,100.0,1,0.9965845774434186,0.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,8.238611677031155,phase_diagram,7.795520495970577,8,13.181426416481719,3.495591048157314,0.5,1,0.5503160862125529,1.2
3.034958866473906,"[4, 4]",-0.7697548982499292,False,4.285541654085563,phase_diagram,6.291101096367731,8,13.181426416481719,3.228399957970573,1.0,1,0.7506362896528225,1.2
3.034958866473906,"[4, 4]",-0.7697548982499292,False,3.6023280230259322,phase_diagram,6.075573652623861,8,13.181426416481719,3.204196327029652,2.0,1,0.753684988539908,1.2
3.2035725600500444,"[4, 4]",-0.7569631344264548,False,3.6751933101233774,phase_diagram,6.054434104725027,8,13.181426416481719,3.314119230240939,5.0,1,0.7535594314454375,1.2
13.640671355502715,[8],0.034840306694483986,True,0.33012851213170175,phase_diagram,0.36859923013630963,8,13.181426416481719,13.628469773930492,10.0,1,0.9943161834285726,1.2
13.826826675860465,[8],0.048962854169693995,True,0.3254919370443259,phase_diagram,0.3645372513437752,8,13.181426416481719,13.839814304781035,20.0,1,0.9944319844032623,1.2
13.826826675860465,[8],0.048962854169693995,True,0.33221689261375736,phase_diagram,0.3700259253861569,8,13.181426416481719,13.847611706692113,50.0,1,0.994374046566078,1.2
24.402833370845194,[8],0.8513044491400805,True,0.2946132875570237,phase_diagram,0.3517340489152277,8,13.181426416481719,24.417214477326326,100.0,1,0.9947153731504517,1.2
2.7830804924611616,"[4, 2, 2]",-0.7888634807397423,False,9.429153778819657,phase_diagram,7.882769936425896,8,13.181426416481719,3.9185765672643367,0.5,1,0.3733784904937248,1.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,9.347482552394009,phase_diagram,7.849668036360028,8,13.181426416481719,4.018783070149409,1.0,1,0.41813896541367623,1.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,6.823367424484504,phase_diagram,7.4259013897038635,8,13.181426416481719,3.8788134422440588,2.0,1,0.6704233667126958,1.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,4.5000400694242,phase_diagram,6.639562935169266,8,13.181426416481719,4.376742149882717,5.0,1,0.8120126936867087,1.8
13.640671355502715,[8],0.034840306694483986,True,0.5388526404383738,phase_diagram,0.6414113411878272,8,13.181426416481719,13.607881557220672,10.0,1,0.9899507107916854,1.8
13.826826675860465,[8],0.048962854169693995,True,0.5004180132808294,phase_diagram,0.587961101437843,8,13.181426416481719,13.850695151286496,20.0,1,0.9909007349566206,1.8
13.826826675860465,[8],0.048962854169693995,True,0.4935629568657477,phase_diagram,0.5746711226691192,8,13.181426416481719,13.85902659355975,50.0,1,0.9911373771332253,1.8
24.402833370845194,[8],0.8513044491400805,True,0.44326574671353103,phase_diagram,0.5497313184391278,8,13.181426416481719,24.420509128566216,100.0,1,0.9915955848055521,1.8
2.7830804924611616,"[4, 2, 2]",-0.7888634807397423,False,10.164907356602223,phase_diagram,7.8469121679337945,8,13.181426416481719,4.93011275572025,0.5,1,0.34660570349554287,3.0
2.7830804924611616,"[4, 2, 2]",-0.7888634807397423,False,10.300242237825618,phase_diagram,7.839476310122292,8,13.181426416481719,5.136086715198227,1.0,1,0.33836052040935977,3.0
3.034958866473906,"[4, 4]",-0.7697548982499292,False,10.723608799361354,phase_diagram,7.814726212639362,8,13.181426416481719,5.870783192738017,2.0,1,0.3363736229212007,3.0
3.034958866473906,"[4, 4]",-0.7697548982499292,False,12.614065378002747,phase_diagram,7.556733515986634,8,13.181426416481719,12.184941177411652,5.0,1,0.3985578689527436,3.0
3.034958866473906,"[4, 4]",-0.7697548982499292,False,10.631988321073916,phase_diagram,7.394905191042658,8,13.181426416481719,14.86794866503752,10.0,1,0.5788327876070788,3.0
13.826826675860465,[8],0.048962854169693995,True,2.17556892249474,phase_diagram,2.8765627355858086,8,13.181426416481719,14.001391998815652,20.0,1,0.9473149293944163,3.0
13.826826675860465,[8],0.048962854169693995,True,1.0200602804828207,phase_diagram,1.2899430804287169,8,13.181426416481719,13.90914275809687,50.0,1,0.9791318300257961,3.0
24.402833370845194,[8],0.8513044491400805,True,0.8978827901036097,phase_diagram,1.1765286259923786,8,13.181426416481719,24.430902319526467,100.0,1,0.9810380092079285,3.0
4.480081033109882,"[4, 4]",-0.6852827094150136,False,2.864469909456516,phase_diagram,5.935498374338293,8,14.235255472562214,4.569080769736149,0.5,2,0.7530851340262322,0.35
4.480081033109882,"[4, 4]",-0.6852827094150136,False,2.8171309067121784,phase_diagram,5.928584573166121,8,14.235255472562214,4.568036551164215,1.0,2,0.7528321483144101,0.35
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,2.805133957813859,phase_diagram,5.926737285287039,8,14.235255472562214,4.735912383693879,2.0,2,0.7530031225502647,0.35
4.984152957515922,"[4, 4]",-0.6498726020672658,False,2.8342141141913517,phase_diagram,5.92492002700056,8,14.235255472562214,4.527041138157676,5.0,2,0.7517847136808375,0.35
4.984152957515922,"[4, 4]",-0.6498726020672658,False,2.827324929645047,phase_diagram,5.924524182088107,8,14.235255472562214,4.52420659756449,10.0,2,0.7520426352097209,0.35
16.225707715772018,[8],0.13982553717046434,True,0.06628863637193412,phase_diagram,0.061168839698400146,8,14.235255472562214,16.227981629516893,20.0,2,0.9990839692113075,0.35
27.04177828285195,[8],0.8996342099355862,True,0.07611839191913457,phase_diagram,0.07401361236489766,8,14.235255472562214,27.03931092891868,50.0,2,0.9989013429662745,0.35
27.04177828285195,[8],0.8996342099355862,True,0.08237208170041727,phase_diagram,0.08314590667963286,8,14.235255472562214,27.03403157227185,100.0,2,0.9987647864639542,0.35
4.480081033109882,"[4, 4]",-0.6852827094150136,False,3.362296714843471,phase_diagram,6.0389215378070755,8,14.235255472562214,4.581469928533087,0.5,2,0.7560074710396975,0.5
4.480081033109882,"[4, 4]",-0.6852827094150136,False,2.867252234518469,phase_diagram,5.935370659298526,8,14.235255472562214,4.5758829828200955,1.0,2,0.7525796555584274,0.5
4.480081033109882,"[4, 4]",-0.6852827094150136,False,2.853345587555327,phase_diagram,5.932221360919147,8,14.235255472562214,4.758663796803991,2.0,2,0.7528637929029363,0.5
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,2.8763643274949944,phase_diagram,5.92894844893725,8,14.235255472562214,4.768296042321956,5.0,2,0.7521623378796933,0.5
4.984152957515922,"[4, 4]",-0.6498726020672658,False,2.8719839620904253,phase_diagram,5.924195170842085,8,14.235255472562214,4.552168906669325,10.0,2,0.7516624548300712,0.5
16.225707715772018,[8],0.13982553717046434,True,0.11751505548874075,phase_diagram,0.1157166992437128,8,14.235255472562214,16.230252287377358,20.0,2,0.9982565842508662,0.5
27.04177828285195,[8],0.8996342099355862,True,0.12671267673355646,phase_diagram,0.13139389920645642,8,14.235255472562214,27.03829090450011,50.0,2,0.9980395543052317,0.5
27.04177828285195,[8],0.8996342099355862,True,0.13172280232329742,phase_diagram,0.1406797572241702,8,14.235255472562214,27.035853535454315,100.0,2,0.9979000658562224,0.5
4.446753568141364,"[4, 4]",-0.6876239013263743,False,3.954278769328574,phase_diagram,6.235323416164114,8,14.235255472562214,4.5946281492370336,0.5,2,0.7635104087960938,0.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,3.6503346611678618,phase_diagram,6.131563171345044,8,14.235255472562214,4.612039388023379,1.0,2,0.7653641410374323,0.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,2.9510866837943768,phase_diagram,5.945928460124638,8,14.235255472562214,4.602379058410488,2.0,2,0.7517359014448848,0.8
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,3.1184666918478,phase_diagram,5.9595455741804075,8,14.235255472562214,4.845534694659044,5.0,2,0.750331827897885,0.8
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,2.918465235408272,phase_diagram,5.928108848046148,8,14.235255472562214,4.809554463857955,10.0,2,0.7514627493030617,0.8
16.225707715772018,[8],0.13982553717046434,True,0.19379594214983897,phase_diagram,0.22046278211227463,8,14.235255472562214,16.228474588224394,20.0,2,0.9966503098572335,0.8
27.04177828285195,[8],0.8996342099355862,True,0.19798109973111144,phase_diagram,0.2308903889069644,8,14.235255472562214,27.03804965469964,50.0,2,0.9965327217744567,0.8
26.674203719310114,[8],0.8738127861999659,True,0.21540752734639387,phase_diagram,0.2421182301799508,8,14.235255472562214,26.678024130501598,100.0,2,0.9963422540573563,0.8
4.446753568141364,"[4, 4]",-0.6876239013263743,False,8.213571581691633,phase_diagram,7.816228996387765,8,14.235255472562214,4.912729018613528,0.5,2,0.5017199425429978,1.2
4.480081033109882,"[4, 4]",-0.6852827094150136,False,6.437943713870722,phase_diagram,7.5963594322239185,8,14.235255472562214,4.759185536353961,1.0,2,0.6515040439932538,1.2
4.480081033109882,"[4, 4]",-0.6852827094150136,False,3.8458154135849076,phase_diagram,6.193904534504829,8,14.235255472562214,4.692895285244834,2.0,2,0.7712308765814777,1.2
4.480081033109882,"[4, 4]",-0.6852827094150136,False,3.5520367318492125,phase_diagram,6.822107627173303,8,14.235255472562214,8.075416209021867,5.0,2,0.902378020952981,1.2
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,3.074109110048589,phase_diagram,5.948670704394499,8,14.235255472562214,4.862968276769799,10.0,2,0.7500211214993353,1.2
16.38250299218755,[8],0.15084011128314875,True,0.31940446665803823,phase_diagram,0.35918854722003535,8,14.235255472562214,16.37840787190885,20.0,2,0.9945188786223027,1.2
26.674203719310114,[8],0.8738127861999659,True,0.32285457723847577,phase_diagram,0.36722932877377346,8,14.235255472562214,26.673982047779702,50.0,2,0.9944147592723731,1.2
26.674203719310114,[8],0.8738127861999659,True,0.32885313948652034,phase_diagram,0.3722397177455214,8,14.235255472562214,26.68160783499624,100.0,2,0.9942924547991367,1.2
3.7707632493048955,"[2, 2, 2, 2]",-0.7351109534652985,False,9.389982019455555,phase_diagram,7.889672786125883,8,14.235255472562214,5.320632528061589,0.5,2,0.40182101521498337,1.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,9.156726123547049,phase_diagram,7.832858781332524,8,14.235255472562214,5.421227095716921,1.0,2,0.4254357557496791,1.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,8.042369201350454,phase_diagram,7.770425191192781,8,14.235255472562214,5.469168857261734,2.0,2,0.5481025316742568,1.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,4.558231259778882,phase_diagram,6.434073395341439,8,14.235255472562214,5.492257551245816,5.0,2,0.779692335211826,1.8
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,4.061306608302177,phase_diagram,6.155541022462789,8,14.235255472562214,5.106904238534865,10.0,2,0.7571948626497292,1.8
16.16023872042967,[8],0.1352264630289054,True,0.5309178859068149,phase_diagram,0.624616777811532,8,14.235255472562214,16.158588213328265,20.0,2,0.9902641358999729,1.8
26.674203719310114,[8],0.8738127861999659,True,0.48228576853235217,phase_diagram,0.5874676034294702,8,14.235255472562214,26.671067105252295,50.0,2,0.9909332424661583,1.8
26.674203719310114,[8],0.8738127861999659,True,0.48610818682737666,phase_diagram,0.5628186918698076,8,14.235255472562214,26.682461211354692,100.0,2,0.9912348407849207,1.8
3.7707632493048955,"[2, 2, 2, 2]",-0.7351109534652985,False,10.137937198185682,phase_diagram,7.851072750911499,8,14.235255472562214,6.344022879411423,0.5,2,0.37189311818034737,3.0
3.7707632493048955,"[2, 2, 2, 2]",-0.7351109534652985,False,10.29085538583077,phase_diagram,7.8411063992881695,8,14.235255472562214,6.566922460667024,1.0,2,0.35494580554679833,3.0
4.446753568141364,"[4, 4]",-0.6876239013263743,False,10.72512102587343,phase_diagram,7.8137779935683795,8,14.235255472562214,7.323602330734922,2.0,2,0.3404023989425083,3.0
4.480081033109882,"[4, 4]",-0.6852827094150136,False,12.394788817196897,phase_diagram,7.557144801960765,8,14.235255472562214,13.361582067660859,5.0,2,0.40832512801402876,3.0
4.480081033109882,"[4, 4]",-0.6852827094150136,False,11.837181111618982,phase_diagram,7.425004267727513,8,14.235255472562214,17.14912180072757,10.0,2,0.49239180844592884,3.0
15.569116432392603,[8],0.09370123089124346,True,6.1373679792726,phase_diagram,6.606284004644422,8,14.235255472562214,15.976643551397107,20.0,2,0.7854837954287299,3.0
26.060110827015787,[8],0.8306739121925438,True,2.0763316787091775,phase_diagram,2.891526881118155,8,14.235255472562214,25.514786578578434,50.0,2,0.9449972150710012,3.0
26.674203719310114,[8],0.8738127861999659,True,0.8935943132446149,phase_diagram,1.1589273911113844,8,14.235255472562214,26.690687470207163,100.0,2,0.9813006296150375,3.0
