assignment_cost,assignment_cycles,assignment_gap,assignment_single_cycle,entropy,experiment,greedy_cost,greedy_cycles,h_norm,n,opt_cost,relaxed_cost,rho,seed,sharpness,tau
3.2833376631242888,"[4, 4]",-0.7391075718104415,False,3.6555727784809404,rho_pressure,3.2833376631242888,"[4, 4]",6.115776924849731,8,12.585024739540128,3.451381282140894,0.25,0,0.7576212089435201,0.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,3.08091129285114,rho_pressure,3.4298249808678487,"[4, 4]",5.971326878089129,8,12.585024739540128,3.3944649120150068,0.5,0,0.7507231143583095,0.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.897853301759594,rho_pressure,3.4298249808678487,"[4, 4]",5.939300929201279,8,12.585024739540128,3.3859103400323716,1.0,0,0.7514447918709539,0.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.8615474150349476,rho_pressure,3.4298249808678487,"[4, 4]",5.932433961566048,8,12.585024739540128,3.3859359655948067,2.0,0,0.7517519650984879,0.8
3.4298249808678487,"[4, 4]",-0.7274677601473528,False,2.921843474637444,rho_pressure,3.4298249808678487,"[4, 4]",5.931991588663343,8,12.585024739540128,3.4210017086429225,5.0,0,0.7513745435059191,0.8
13.473387896535616,[8],0.07058890827638933,True,0.17147415627883275,rho_pressure,13.473387896535616,[8],0.18711845534009278,8,12.585024739540128,13.452126382636331,10.0,0,0.9971918485619142,0.8
13.473387896535616,[8],0.07058890827638933,True,0.19142224212056708,rho_pressure,13.473387896535616,[8],0.2038589796440994,8,12.585024739540128,13.480798199917105,20.0,0,0.9969257685029145,0.8
13.473387896535616,[8],0.07058890827638933,True,0.19919313901355357,rho_pressure,13.473387896535616,[8],0.2078224886005551,8,12.585024739540128,13.484287964874392,50.0,0,0.9968582130412545,0.8
24.355707473426104,[8],0.9352927767320457,True,0.16060620644281,rho_pressure,24.355707473426104,[8],0.18909827133381168,8,12.585024739540128,24.357831007343687,100.0,0,0.9971891939588264,0.8
34.30020413469418,[8],1.7254776883297211,True,0.17995776601251814,rho_pressure,34.30020413469418,[8],0.20250615902698932,8,12.585024739540128,34.24936828526289,200.0,0,0.9969869570358212,0.8
43.614125014755054,[8],2.465557352281277,True,0.1809972257437039,rho_pressure,43.614125014755054,[8],0.20738122255400487,8,12.585024739540128,43.54271860879591,400.0,0,0.9969168159993607,0.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,3.2876744543589154,rho_pressure,3.034958866473906,"[4, 4]",6.0188121037737,8,13.181426416481719,3.1111077096923005,0.25,1,0.7515345118356702,0.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,2.9909327100993357,rho_pressure,3.034958866473906,"[4, 4]",5.956756387524945,8,13.181426416481719,3.105934124801548,0.5,1,0.751724805325607,0.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,2.903220110294229,rho_pressure,3.034958866473906,"[4, 4]",5.940508875068836,8,13.181426416481719,3.1026775230626185,1.0,1,0.7519406566513028,0.8
3.2035725600500444,"[4, 4]",-0.7569631344264548,False,2.860585159545235,rho_pressure,3.2035725600500444,"[4, 4]",5.932997352617272,8,13.181426416481719,3.020637866525682,2.0,1,0.7514280271617043,0.8
3.034958866473906,"[4, 4]",-0.7697548982499292,False,2.9283036298868916,rho_pressure,3.034958866473906,"[4, 4]",5.933500584219848,8,13.181426416481719,3.1441208691671534,5.0,1,0.7514029569939351,0.8
13.640671355502715,[8],0.034840306694483986,True,0.1879139621983072,rho_pressure,13.640671355502715,[8],0.19634757207690834,8,13.181426416481719,13.631796657651481,10.0,1,0.9970021904677566,0.8
13.826826675860465,[8],0.048962854169693995,True,0.18864119492776754,rho_pressure,13.826826675860465,[8],0.19804657672987605,8,13.181426416481719,13.833765672157947,20.0,1,0.9970019943482064,0.8
13.826826675860465,[8],0.048962854169693995,True,0.1943483752130299,rho_pressure,13.826826675860465,[8],0.20462912401828715,8,13.181426416481719,13.837537544998824,50.0,1,0.996930127086177,0.8
24.402833370845194,[8],0.8513044491400805,True,0.17271815129925583,rho_pressure,24.402833370845194,[8],0.19349854528696972,8,13.181426416481719,24.41344940330638,100.0,1,0.9971274608943357,0.8
24.420655452243423,[8],0.8526565092916242,True,0.17697443670672316,rho_pressure,24.420655452243423,[8],0.19486687211835285,8,13.181426416481719,24.433140374232288,200.0,1,0.9970881878038482,0.8
24.420655452243423,[8],0.8526565092916242,True,0.17833376316856778,rho_pressure,24.420655452243423,[8],0.19607427850389256,8,13.181426416481719,24.426660464032192,400.0,1,0.9970644496310732,0.8
4.446753568141364,"[4, 4]",-0.6876239013263743,False,3.8409398582201963,rho_pressure,1000004.1616219071,"[4, 3, 1]",6.204892957254575,8,14.235255472562214,4.579546267250752,0.25,2,0.7671214418800429,0.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,3.649275879369243,rho_pressure,1000004.1616219071,"[4, 3, 1]",6.177303704592403,8,14.235255472562214,4.585648400497528,0.5,2,0.7759206354932044,0.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,2.9204393454276336,rho_pressure,4.480081033109882,"[4, 4]",5.943473139509758,8,14.235255472562214,4.58545705552209,1.0,2,0.7521052270139287,0.8
4.480081033109882,"[4, 4]",-0.6852827094150136,False,2.86478662080562,rho_pressure,4.480081033109882,"[4, 4]",5.933947649823217,8,14.235255472562214,4.5845633628874,2.0,2,0.7521147363069592,0.8
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,2.915202445543729,rho_pressure,4.5059610808490875,"[4, 4]",5.9325426550465705,8,14.235255472562214,4.7838274966383025,5.0,2,0.7518364369582702,0.8
4.5059610808490875,"[4, 4]",-0.6834646845970473,False,2.9251190243383443,rho_pressure,4.5059610808490875,"[4, 4]",5.92146832799815,8,14.235255472562214,4.838897509505439,10.0,2,0.751299271522153,0.8
16.225707715772018,[8],0.13982553717046434,True,0.17020786986391823,rho_pressure,16.225707715772018,[8],0.19027132945713238,8,14.235255472562214,16.22804437129928,20.0,2,0.9971131820448598,0.8
27.04177828285195,[8],0.8996342099355862,True,0.1719588889111559,rho_pressure,27.04177828285195,[8],0.1966482460262951,8,14.235255472562214,27.037796500573425,50.0,2,0.9970524290841216,0.8
26.674203719310114,[8],0.8738127861999659,True,0.1847704691349633,rho_pressure,26.674203719310114,[8],0.20317699307107195,8,14.235255472562214,26.677106376070864,100.0,2,0.9969383011765413,0.8
37.53848970035445,[8],1.6370085013723934,True,0.19118575141443225,rho_pressure,37.53848970035445,[8],0.20419069313997426,8,14.235255472562214,37.49782606102123,200.0,2,0.99690923611508,0.8
38.08441867717007,[8],1.6753589881527589,True,0.19954829297083176,rho_pressure,38.08441867717007,[8],0.2103350431027944,8,14.235255472562214,38.021907110153776,400.0,2,0.9967960546777912,0.8
